x	arrow-star	arrow-mst	arrow-random	ivy-random	random-random	localMinPairs-random	inbetween'-0.5-random	inbetween'-0.1-random	inbetween'-0.2-random	minWeight-random	dynamicStar-random
849.0	2.0310232053022585	1.894615459167222	9.134601163283433	6.082216162589518	9.078996261906065	2.347836308988468	8.740654882473455	6.204770226144611	6.605092541603607	2.3239818841227704	4.328247156317581
954.0	2.0939591590803626	1.919377642568486	9.450879554622388	6.156194212845431	9.104657917773348	2.3108046033139957	8.669574727241228	6.2842665197452785	6.658759561583883	2.2668476760683554	4.228521092118161
1072.0	2.087060954464318	1.923616398552999	9.541846086947224	6.123903149336066	9.729683444267804	2.247842582379543	8.677090936148595	6.222639270839656	6.707849349760542	2.20869015190261	4.060351639611695
1204.0	2.0782037900437875	1.9266833488913424	9.615507601791721	6.2330117619784255	9.807958913182079	2.2166802710634346	8.762589378366721	6.2656753746359435	6.769224504487047	2.1670298993148576	3.8814432596349593
1353.0	2.073942867538842	1.9443830749619242	9.625079527661478	6.209502662075169	9.614767198802076	2.173882502237374	8.674405498062377	6.300054528195367	6.719272464760286	2.1378443209087203	3.6899457360790584
1519.0	2.095653433346676	1.9461477921188497	9.6637297980323	6.294198841361344	9.591292568035895	2.1568954561746523	8.769289149556897	6.388401952866967	6.794841418959874	2.1183137029711467	3.541498882117353
1707.0	2.099089945874417	1.9448726585353557	9.65437817030434	6.345174289184607	9.763622765215407	2.166153568788488	8.779417506210303	6.406509582350301	6.855090748470511	2.081988033662965	3.4416616125109374
1917.0	2.136838221993014	1.9488687211872004	9.913194077292005	6.392360394530218	9.639740496495467	2.162609423752701	8.899230972253482	6.3917379027853976	6.902965945538281	2.073813279685499	3.3618172534106017
2154.0	2.1066645511315816	1.9493746376481722	9.734127428826241	6.292592440279413	9.445174510259923	2.1317324492972527	8.831214483865361	6.340127846475686	6.810516004200915	2.0573841832535664	3.2401023958118866
2420.0	2.0960899440966165	1.9455069216879606	9.646747824874504	6.250009324689333	9.11493793749561	2.111482112708212	8.816989013806642	6.3258499186540815	6.845811626588811	2.0301694472206586	3.126367213528435
2718.0	2.0651171343151096	1.9336554189876232	9.498372995044736	6.17114873375736	9.057093049276267	2.0758750701600213	8.7081667258785	6.240462917419995	6.78089958298022	2.0120427651696047	3.000438743559925
3053.0	2.0797222324883364	1.9195216461824185	9.589487030245282	6.22585139558264	9.004190737728266	2.0754055165080763	9.131070305841018	6.31279171840806	6.956788525669508	1.9988361314616947	2.900177674468951
3430.0	2.085806969158113	1.914300669503777	9.585507140281063	6.215562269562097	9.185384074758163	2.057852710257776	9.112391403607841	6.321132142119026	6.9362702526436975	1.985136983232957	2.8332234978009403
3853.0	2.1125302898850418	1.9200071015879487	9.700283639341661	6.172686964237418	9.49200451493333	2.050774181136087	9.120998766713447	6.357690084287405	6.938058275844636	1.9867962353485007	2.78245989561778
4328.0	2.170747752554982	1.922923689371088	10.014864574071936	6.3663870253987715	9.497697897404322	2.041762081575641	9.499420138435765	6.525436970005359	7.080344940486296	1.9901210824128779	2.775762522864139
4862.0	2.1595074456859273	1.9132785564826473	10.056348585672056	6.356864509720346	9.419058039704055	2.019639535382156	9.509524314977066	6.542538035786769	7.012453096281476	1.982385895952263	2.7337115506947995
5462.0	2.1450814323236513	1.9123527088883057	10.068134412061	6.336939986810943	9.380121491594492	2.007454192218927	9.438259634648974	6.5006439346043985	6.950993686766761	1.9902486604346743	2.6639650117629534
6135.0	2.1388229185869285	1.92197992188356	9.965542639542619	6.3236789953403205	9.239098689707554	2.008691297008212	9.372020884658289	6.483689679811851	6.956800692376926	1.998266240743116	2.6015213338775256
6892.0	2.1435763489819992	1.9178211200800659	10.044205670585564	6.368609997007389	9.21831603790017	2.004141877472126	9.35780762315731	6.541617024129882	7.033712054336621	2.000745398510125	2.5572485118961135
7742.0	2.1363660669412283	1.9185181176396926	10.010237393877867	6.359736556488658	9.0981409742916	2.0031507633230126	9.294608261603571	6.507115343228505	6.991950543004022	1.998584152394356	2.507092301842468
8697.0	2.14682540083982	1.9181857414282855	9.938122668883079	6.41590807344604	9.045965445549244	1.9984821055976156	9.267441095320784	6.570802358818609	7.003459380745874	1.9957121121769144	2.5027142905455744
9770.0	2.137400663195407	1.9176017262714127	9.967141319053061	6.388442510837231	9.095333761680795	1.9863313883603704	9.317050693274396	6.544571564610474	7.014107292895489	1.993107548662988	2.465044571189292
10974.0	2.132808844006126	1.9216396308179662	9.887360556036844	6.373831126114428	9.121115578223932	1.9787169617951847	9.246417434585501	6.527151155494056	7.009307098070417	1.9960244332740915	2.4248950759476333
12328.0	2.1400989219516933	1.9160731636089465	9.964412420980583	6.405488581569505	9.152121975523226	1.9651770231341315	9.26603489577774	6.567123179617669	7.049280376850043	1.9904648437784174	2.4025374985032286
