x	arrow-star	arrow-shortpairs	arrow-shortestpairs	ivy-random	localMinPairs-random	minWeight-random	indexMeanWeight-random
2420.0	1.5774473358116474	1.866997108632795	1.5770342833539834	1.8471705906650158	2.3197026022304836	2.5481206113176333	1.588186699710864
2718.0	1.5774181684442787	1.8569326958440597	1.5770503861713838	1.8514159617506452	2.311143802868707	2.5376976829716753	1.5869805075395378
3053.0	1.5720366732154538	1.8539620170268492	1.5717092337917467	1.8542894564505579	2.3064833005893983	2.5265225933202307	1.5805500982318303
3430.0	1.5741766248907008	1.8548528125910817	1.5738851646750183	1.8446517050422628	2.3057417662489135	2.5260856893034065	1.581754590498398
3853.0	1.5685002594706785	1.8443175921120918	1.5682407887908645	1.843279709392838	2.2778930980799212	2.5111572392319648	1.5752464971458247
4328.0	1.5728805728805721	1.8500808500808485	1.5726495726495726	1.8380688380688381	2.2887502887502946	2.522984522984518	1.5788865788865825
4862.0	1.5700185070943848	1.84536294468435	1.5698128727123197	1.8365206662553983	2.2839810816368566	2.5210775241620373	1.5753650010281752
5462.0	1.568185978400146	1.8456891817682588	1.5680029287937058	1.832326560497894	2.2721947647812675	2.5178473366282272	1.5729452681676772
6135.0	1.5731747066492814	1.8554432855280314	1.5730117340286842	1.8309973924380698	2.2741199478487664	2.520371577574965	1.5774119947848797
6892.0	1.5710140722472052	1.8544900623821245	1.5708689975337327	1.8308428840853037	2.276947628028436	2.5234295662266013	1.5747860147976251
7742.0	1.571871367686944	1.8548366266305034	1.5717422187782524	1.8300400361616949	2.2673382409918656	2.5208575487537104	1.5752292393129277
8697.0	1.5776040469073376	1.8633019084847091	1.5774890779489543	1.8284663140951967	2.271096803862951	2.5363301908484663	1.5805932398252494
9770.0	1.5834612629208937	1.8721727561150379	1.5833589192508446	1.8335891925084444	2.279091188210007	2.5445706683041664	1.5861221983420328
10974.0	1.5812300683371359	1.8676082004555812	1.5811389521640085	1.827881548974943	2.2776309794988627	2.5405922551252873	1.5835990888382678
12328.0	1.5805823667775172	1.8695757969016193	1.5805012571984718	1.82772325411631	2.289480087598344	2.540757563468251	1.5826912158325916
13848.0	1.5819192721496111	1.8703877536284261	1.5818470647700151	1.8273521553902836	2.291501191421757	2.538017185356352	1.5837966640190642
15556.0	1.5817316963424823	1.8686122002956873	1.5816674165970257	1.8251590923699998	2.288551777334957	2.5391785048531275	1.5834029697242393
17475.0	1.5855458915083525	1.8760013733119725	1.58548867017624	1.8263904783703448	2.291714351110094	2.5528725108720574	1.587033646143283
19630.0	1.5847893637613955	1.8746370536396488	1.5847384239213473	1.8275686414344743	2.2908155468391884	2.550812490448788	1.5861137996026693
22051.0	1.5848449120261192	1.874251768547063	1.584799564665336	1.8290404498458301	2.297841465626709	2.555323780156012	1.5860239434064929
24770.0	1.5843930402486783	1.8718662952646143	1.584352670461427	1.8278632271607964	2.3026522950224027	2.559283032578433	1.5854426547172131
